OTU	048A.517966	124A.517917	136A.517974	160A.517963	179A.517951	171A.517912	025A.517964	024A.517911	199A.517916	226A.517958	222A.517938	193A.517981	103A.517930	211A.517952	216A.517955	194A.517927	184A.517980	213B.517909	005A.517956	046A.517923	209A.517959	234A.517934	164A.517939	080A.517947	233A.517978	156A.517946	051A.517935	086A.517933	034B.517954	206A.517983	187A.517965	172A.517920	004A.517975	018A.517925	155A.517926	166A.517960	114C.517973	182A.517969	218A.517928	140A.517937	207A.517949	185A.517953	146A.517915	062B.517972	180A.517910	214A.517924	191C.517943	177A.517976	200A.517948	130A.517982	195A.517961	153A.517929	198A.517940	210A.517945	035A.517979	079A.517967	228A.517932	178A.517971	219A.517977	186A.517918	099A.517921	118B.517968	139A.517913	165A.517970	192A.517922	119A.517957	148A.517931	009A.517942	202A.517941	142A.517962	162A.517936	016A.517944	120D.517914	038A.517919	215A.517950
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f___g___s__	37.0	50.0	116.0	0.0	21.0	0.0	12.0	40.0	183.0	25.0	35.0	123.0	137.0	98.0	259.0	1.0	97.0	67.0	1.0	21.0	72.0	73.0	0.0	14.0	10.0	9.0	6.0	116.0	32.0	74.0	44.0	115.0	5.0	36.0	61.0	14.0	4.0	9.0	43.0	8.0	104.0	111.0	157.0	114.0	0.0	1.0	37.0	154.0	65.0	101.0	25.0	50.0	1.0	110.0	0.0	1.0	7.0	0.0	3.0	12.0	1.0	11.0	0.0	0.0	152.0	116.0	28.0	11.0	0.0	0.0	1.0	18.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Clostridiaceae_g__Clostridium_s__butyricum	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Lachnospira_s__	2.0	1.0	1.0	0.0	0.0	0.0	37.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	5.0	20.0	1.0	15.0	18.0	3.0	0.0	0.0	23.0	0.0	0.0	2.0	79.0	6.0	34.0	35.0	0.0	15.0	4.0	23.0	200.0	39.0	6.0	0.0	15.0	5.0	1.0	0.0	0.0	78.0	0.0	124.0	21.0	7.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	33.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Coriobacteriia_o__Coriobacteriales_f__Coriobacteriaceae_g___s__	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Bacteroidetes_c__Bacteroidia_o__Bacteroidales_f__Prevotellaceae_g__Prevotella_s__copri	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	133.0	0.0	19.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	374.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	770.0	0.0	0.0	0.0	0.0	0.0	168.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	438.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	831.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Lachnospiraceae_g__Dorea_s__	47.0	23.0	0.0	0.0	19.0	0.0	1.0	4.0	1.0	29.0	25.0	34.0	1.0	34.0	41.0	0.0	35.0	94.0	0.0	0.0	4.0	17.0	0.0	3.0	3.0	51.0	4.0	37.0	10.0	12.0	9.0	4.0	0.0	12.0	8.0	26.0	31.0	2.0	27.0	0.0	0.0	4.0	22.0	25.0	169.0	0.0	16.0	10.0	5.0	12.0	0.0	0.0	11.0	25.0	0.0	0.0	11.0	58.0	0.0	3.0	101.0	51.0	0.0	0.0	1.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales_f__Christensenellaceae_g__Christensenella_s__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Firmicutes_c__Clostridia_o__Clostridiales	2.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	2.0	1.0	9.0	4.0	4.0	10.0	9.0	3.0	1.0	1.0	5.0	2.0	3.0	4.0	0.0	1.0	4.0	6.0	2.0	5.0	0.0	3.0	3.0	3.0	2.0	4.0	0.0	0.0	4.0	3.0	3.0	1.0	4.0	4.0	1.0	1.0	1.0	0.0	4.0	1.0	3.0	3.0	3.0	2.0	0.0	4.0	0.0	2.0	2.0	2.0	0.0	4.0	0.0	4.0	19.0	0.0	2.0	2.0	0.0	1.0	5.0	0.0	13.0	5.0	18.0	0.0	1.0
k__Bacteria_p__Firmicutes_c__Erysipelotrichi_o__Erysipelotrichales_f__Erysipelotrichaceae_g__Catenibacterium_s__	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria_p__Actinobacteria_c__Actinobacteria_o__Actinomycetales_f__Actinomycetaceae_g__Actinomyces_s__	1.0	2.0	0.0	78.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	2.0	7.0	2.0	0.0	0.0	0.0	0.0	40.0	1.0	0.0	5.0	0.0	0.0	0.0	1.0
